"","GEO.NAME","ALT.GEO.CODE","VIS.MIN15","VIS.MIN15.ID","AGE4D","AGE4D.ID","SEX3","SEX3.ID","tech","V1","V2"
"220","Canada","01","West Asian",10,"Total - Age",1,"Male",2,1,9740,70794.3162217659
"221","Canada","01","West Asian",10,"Total - Age",1,"Female",3,0,52155,27959.1974882562
"222","Canada","01","West Asian",10,"Total - Age",1,"Female",3,1,2970,58881.1515151515
"223","Canada","01","West Asian",10,"15 to 24 years",2,"Total - Sex",1,0,16005,9725.63792564823
"224","Canada","01","West Asian",10,"15 to 24 years",2,"Total - Sex",1,1,460,14900.7826086957
"225","Canada","01","West Asian",10,"15 to 24 years",2,"Male",2,0,7900,8974.65569620253
"226","Canada","01","West Asian",10,"15 to 24 years",2,"Male",2,1,370,9273.64864864865
"227","Canada","01","West Asian",10,"15 to 24 years",2,"Female",3,0,7960,8737.13881909548
"228","Canada","01","West Asian",10,"15 to 24 years",2,"Female",3,1,120,0
"229","Canada","01","West Asian",10,"25 to 64 years",3,"Total - Sex",1,0,93710,36845.1159428023
"230","Canada","01","West Asian",10,"25 to 64 years",3,"Total - Sex",1,1,11970,70775.4114452799
"231","Canada","01","West Asian",10,"25 to 64 years",3,"Male",2,0,50260,39788.7005571031
"232","Canada","01","West Asian",10,"25 to 64 years",3,"Male",2,1,9140,72722.5355579869
"233","Canada","01","West Asian",10,"25 to 64 years",3,"Female",3,0,43275,30976.7631426921
"234","Canada","01","West Asian",10,"25 to 64 years",3,"Female",3,1,2840,60097.9454225352
"235","Canada","01","West Asian",10,"65 years and over",4,"Total - Sex",1,0,2630,8312.70912547528
"236","Canada","01","West Asian",10,"65 years and over",4,"Total - Sex",1,1,225,23506.9777777778
"237","Canada","01","West Asian",10,"65 years and over",4,"Male",2,0,1865,8042.71849865952
"238","Canada","01","West Asian",10,"65 years and over",4,"Male",2,1,195,27123.4358974359
"239","Canada","01","West Asian",10,"65 years and over",4,"Female",3,0,840,4446.88095238095
"240","Canada","01","West Asian",10,"65 years and over",4,"Female",3,1,20,0
"241","Canada","01","Korean",11,"Total - Age",1,"Total - Sex",1,0,84195,34717.3804263911
"242","Canada","01","Korean",11,"Total - Age",1,"Total - Sex",1,1,5750,68110.6460869565
"243","Canada","01","Korean",11,"Total - Age",1,"Male",2,0,40195,37361.2791391964
"244","Canada","01","Korean",11,"Total - Age",1,"Male",2,1,4640,70312.8254310345
"245","Canada","01","Korean",11,"Total - Age",1,"Female",3,0,44015,29789.4836987391
"246","Canada","01","Korean",11,"Total - Age",1,"Female",3,1,1100,50151.5818181818
"247","Canada","01","Korean",11,"15 to 24 years",2,"Total - Sex",1,0,11800,8529.30889830508
"248","Canada","01","Korean",11,"15 to 24 years",2,"Total - Sex",1,1,445,16232.5393258427
"249","Canada","01","Korean",11,"15 to 24 years",2,"Male",2,0,5860,7355.89931740614
"250","Canada","01","Korean",11,"15 to 24 years",2,"Male",2,1,325,12529.0461538462
"251","Canada","01","Korean",11,"15 to 24 years",2,"Female",3,0,5995,7433.25854879066
"252","Canada","01","Korean",11,"15 to 24 years",2,"Female",3,1,160,5488.75
"253","Canada","01","Korean",11,"25 to 64 years",3,"Total - Sex",1,0,70310,38899.710140805
"254","Canada","01","Korean",11,"25 to 64 years",3,"Total - Sex",1,1,5205,71504.2228626321
"255","Canada","01","Korean",11,"25 to 64 years",3,"Male",2,0,33075,41984.3995464853
"256","Canada","01","Korean",11,"25 to 64 years",3,"Male",2,1,4260,72810.9495305164
"257","Canada","01","Korean",11,"25 to 64 years",3,"Female",3,0,37265,32717.8410036227
"258","Canada","01","Korean",11,"25 to 64 years",3,"Female",3,1,940,55339.9468085106
"259","Canada","01","Korean",11,"65 years and over",4,"Total - Sex",1,0,1960,12749.4234693878
"260","Canada","01","Korean",11,"65 years and over",4,"Total - Sex",1,1,95,0
"261","Canada","01","Korean",11,"65 years and over",4,"Male",2,0,1275,8197.50196078431
"262","Canada","01","Korean",11,"65 years and over",4,"Male",2,1,65,0
"263","Canada","01","Korean",11,"65 years and over",4,"Female",3,0,640,10277.3125
"264","Canada","01","Korean",11,"65 years and over",4,"Female",3,1,10,0
"265","Canada","01","Japanese",12,"Total - Age",1,"Total - Sex",1,0,44040,45323.4777475023
"266","Canada","01","Japanese",12,"Total - Age",1,"Total - Sex",1,1,2580,84438.2131782946
"267","Canada","01","Japanese",12,"Total - Age",1,"Male",2,0,18520,49354.7140928726
"268","Canada","01","Japanese",12,"Total - Age",1,"Male",2,1,2110,82915.8838862559
"269","Canada","01","Japanese",12,"Total - Age",1,"Female",3,0,25530,35712.6917352135
"270","Canada","01","Japanese",12,"Total - Age",1,"Female",3,1,510,35644.9019607843
"271","Canada","01","Japanese",12,"15 to 24 years",2,"Total - Sex",1,0,6300,7482.26825396825
"272","Canada","01","Japanese",12,"15 to 24 years",2,"Total - Sex",1,1,110,4776.86363636364
"273","Canada","01","Japanese",12,"15 to 24 years",2,"Male",2,0,3060,6370.24019607843
