"","GEO.NAME","GEO.CODE","tech","V1","V2","V3"
"135","Oshawa","35532","Non Tech Occupation",170180,87375,82730
"136","Oshawa","35532","Tech Occupation",8665,6460,2180
"137","Ingersoll","35533","Non Tech Occupation",6470,3290,2955
"138","Ingersoll","35533","Tech Occupation",95,75,10
"139","Toronto","35535","Non Tech Occupation",2573380,1297780,1275630
"140","Toronto","35535","Tech Occupation",185360,142230,43095
"141","Hamilton","35537","Non Tech Occupation",349445,178395,170890
"142","Hamilton","35537","Tech Occupation",14500,11645,2890
"143","St. Catharines - Niagara","35539","Non Tech Occupation",197580,100955,96635
"144","St. Catharines - Niagara","35539","Tech Occupation",4560,3875,685
"145","Kitchener","35541","Non Tech Occupation",240755,123265,117485
"146","Kitchener","35541","Tech Occupation",13785,10730,3035
"147","Brantford","35543","Non Tech Occupation",65085,33510,31490
"148","Brantford","35543","Tech Occupation",1545,1245,270
"149","Woodstock","35544","Non Tech Occupation",18310,9295,8725
"150","Woodstock","35544","Tech Occupation",475,400,80
"151","Tillsonburg","35546","Non Tech Occupation",7265,3585,3415
"152","Tillsonburg","35546","Tech Occupation",90,70,20
"153","Norfolk","35547","Non Tech Occupation",32185,17115,14970
"154","Norfolk","35547","Tech Occupation",510,400,100
"155","Guelph","35550","Non Tech Occupation",69810,35200,34460
"156","Guelph","35550","Tech Occupation",3065,2440,615
"157","Stratford","35553","Non Tech Occupation",16615,8260,8225
"158","Stratford","35553","Tech Occupation",365,280,80
"159","London","35555","Non Tech Occupation",236195,119730,116305
"160","London","35555","Tech Occupation",10255,7700,2590
"161","Chatham-Kent","35556","Non Tech Occupation",55565,28935,26620
"162","Chatham-Kent","35556","Tech Occupation",1180,985,200
"163","Leamington","35557","Non Tech Occupation",25425,14090,11040
"164","Leamington","35557","Tech Occupation",315,270,30
"165","Windsor","35559","Non Tech Occupation",156305,80860,75450
"166","Windsor","35559","Tech Occupation",6270,5165,1125
"167","Sarnia","35562","Non Tech Occupation",43805,22570,21160
"168","Sarnia","35562","Tech Occupation",1700,1375,265
"169","Owen Sound","35566","Non Tech Occupation",16155,8155,7835
"170","Owen Sound","35566","Tech Occupation",475,365,90
"171","Collingwood","35567","Non Tech Occupation",8465,4110,4195
"172","Collingwood","35567","Tech Occupation",185,140,30
"173","Barrie","35568","Non Tech Occupation",94875,48885,46055
"174","Barrie","35568","Tech Occupation",3160,2575,535
"175","Orillia","35569","Non Tech Occupation",20100,10135,9805
"176","Orillia","35569","Tech Occupation",340,275,60
"177","Midland","35571","Non Tech Occupation",16985,8630,8170
"178","Midland","35571","Tech Occupation",365,335,40
"179","North Bay","35575","Non Tech Occupation",30695,15195,15410
"180","North Bay","35575","Tech Occupation",885,755,170
"181","Greater Sudbury / Grand Sudbury","35580","Non Tech Occupation",77665,39285,38175
"182","Greater Sudbury / Grand Sudbury","35580","Tech Occupation",2295,1900,380
"183","Elliot Lake","35582","Non Tech Occupation",3790,1745,1855
"184","Elliot Lake","35582","Tech Occupation",40,10,0
"185","Temiskaming Shores","35584","Non Tech Occupation",6280,3045,3115
