"","GEO.NAME","ALT.GEO.CODE","EDUC15","EDUC15.ID","tech","V1","V2","pct","dum"
"112","Edmundston","13335","College, CEGEP or other non-
university certificate or
diploma",8,1,80,80,38.0952380952381,0
"113","Edmundston","13335","University certificate or
diploma below bachelor level",9,1,0,0,0,0
"114","Edmundston","13335","University certificate,
diploma or degree at bachelor
level or above",10,1,85,100,47.6190476190476,0
"115","Matane","24403","No certificate, diploma or
degree",2,1,0,0,0,0
"116","Matane","24403","Secondary (high) school
diploma or equivalency
certificate",3,1,20,20,11.4285714285714,0
"117","Matane","24403","Apprenticeship or trades
certificate or diploma",5,1,20,10,5.71428571428571,0
"118","Matane","24403","College, CEGEP or other non-
university certificate or
diploma",8,1,100,110,62.8571428571429,0
"119","Matane","24403","University certificate or
diploma below bachelor level",9,1,0,0,0,0
"120","Matane","24403","University certificate,
diploma or degree at bachelor
level or above",10,1,15,35,20,0
"121","Rimouski","24404","No certificate, diploma or
degree",2,1,20,10,0.847457627118644,0
"122","Rimouski","24404","Secondary (high) school
diploma or equivalency
certificate",3,1,75,75,6.35593220338983,0
"123","Rimouski","24404","Apprenticeship or trades
certificate or diploma",5,1,135,135,11.4406779661017,0
"124","Rimouski","24404","College, CEGEP or other non-
university certificate or
diploma",8,1,535,530,44.9152542372881,0
"125","Rimouski","24404","University certificate or
diploma below bachelor level",9,1,60,55,4.66101694915254,0
"126","Rimouski","24404","University certificate,
diploma or degree at bachelor
level or above",10,1,400,375,31.7796610169492,0
"127","Rivière-du-Loup","24405","No certificate, diploma or
degree",2,1,0,0,0,0
"128","Rivière-du-Loup","24405","Secondary (high) school
diploma or equivalency
certificate",3,1,50,60,15.3846153846154,0
"129","Rivière-du-Loup","24405","Apprenticeship or trades
certificate or diploma",5,1,85,95,24.3589743589744,0
"130","Rivière-du-Loup","24405","College, CEGEP or other non-
university certificate or
diploma",8,1,140,115,29.4871794871795,0
"131","Rivière-du-Loup","24405","University certificate or
diploma below bachelor level",9,1,20,10,2.56410256410256,0
"132","Rivière-du-Loup","24405","University certificate,
diploma or degree at bachelor
level or above",10,1,110,110,28.2051282051282,0
"133","Baie-Comeau","24406","No certificate, diploma or
degree",2,1,0,0,0,0
"134","Baie-Comeau","24406","Secondary (high) school
diploma or equivalency
certificate",3,1,10,10,2.5974025974026,0
"135","Baie-Comeau","24406","Apprenticeship or trades
certificate or diploma",5,1,50,40,10.3896103896104,0
"136","Baie-Comeau","24406","College, CEGEP or other non-
university certificate or
diploma",8,1,165,160,41.5584415584416,0
"137","Baie-Comeau","24406","University certificate or
diploma below bachelor level",9,1,10,10,2.5974025974026,0
"138","Baie-Comeau","24406","University certificate,
diploma or degree at bachelor
level or above",10,1,190,165,42.8571428571429,0
"139","Saguenay","24408","No certificate, diploma or
degree",2,1,20,40,1.23839009287926,0
"140","Saguenay","24408","Secondary (high) school
diploma or equivalency
certificate",3,1,190,180,5.57275541795666,0
"141","Saguenay","24408","Apprenticeship or trades
certificate or diploma",5,1,240,235,7.27554179566563,0
"142","Saguenay","24408","College, CEGEP or other non-
university certificate or
diploma",8,1,1235,1240,38.390092879257,0
"143","Saguenay","24408","University certificate or
diploma below bachelor level",9,1,115,115,3.56037151702786,0
"144","Saguenay","24408","University certificate,
diploma or degree at bachelor
level or above",10,1,1460,1420,43.9628482972136,0
"145","Alma","24410","No certificate, diploma or
degree",2,1,10,10,2.22222222222222,0
"146","Alma","24410","Secondary (high) school
diploma or equivalency
certificate",3,1,20,10,2.22222222222222,0
"147","Alma","24410","Apprenticeship or trades
certificate or diploma",5,1,70,50,11.1111111111111,0
"148","Alma","24410","College, CEGEP or other non-
university certificate or
diploma",8,1,185,230,51.1111111111111,0
"149","Alma","24410","University certificate or
diploma below bachelor level",9,1,10,20,4.44444444444444,0
"150","Alma","24410","University certificate,
diploma or degree at bachelor
level or above",10,1,120,130,28.8888888888889,0
"151","Dolbeau-Mistassini","24411","No certificate, diploma or
degree",2,1,0,0,0,0
"152","Dolbeau-Mistassini","24411","Secondary (high) school
diploma or equivalency
certificate",3,1,10,20,23.5294117647059,0
"153","Dolbeau-Mistassini","24411","Apprenticeship or trades
certificate or diploma",5,1,0,0,0,0
"154","Dolbeau-Mistassini","24411","College, CEGEP or other non-
university certificate or
diploma",8,1,40,20,23.5294117647059,0
"155","Dolbeau-Mistassini","24411","University certificate or
diploma below bachelor level",9,1,10,20,23.5294117647059,0
"156","Dolbeau-Mistassini","24411","University certificate,
diploma or degree at bachelor
level or above",10,1,30,25,29.4117647058824,0
"157","Sept-Îles","24412","No certificate, diploma or
degree",2,1,0,0,0,0
"158","Sept-Îles","24412","Secondary (high) school
diploma or equivalency
certificate",3,1,20,20,4.70588235294118,0
"159","Sept-Îles","24412","Apprenticeship or trades
certificate or diploma",5,1,20,40,9.41176470588235,0
"160","Sept-Îles","24412","College, CEGEP or other non-
university certificate or
diploma",8,1,205,210,49.4117647058824,0
"161","Sept-Îles","24412","University certificate or
diploma below bachelor level",9,1,10,0,0,0
"162","Sept-Îles","24412","University certificate,
diploma or degree at bachelor
level or above",10,1,155,155,36.4705882352941,0
"163","Québec","24421","No certificate, diploma or
degree",2,1,135,135,0.471451021477213,0
