"","GEO.NAME","ALT.GEO.CODE","VIS.MIN15","VIS.MIN15.ID","V1","V2","share.tech","prop.tech","non.tech.pay","non.vismin.tech.pay","pay.gap","color"
"71","Saint John","13310","Korean",11,0,NA,0,0,NA,72516.6795069338,NA,"1"
"72","Saint John","13310","Japanese",12,0,NA,0,0,NA,72516.6795069338,NA,"1"
"73","Saint John","13310","Visible minority, n.i.e.",13,0,NA,0,0,NA,72516.6795069338,NA,"1"
"74","Saint John","13310","Multiple visible minorities",14,0,NA,0,0,NA,72516.6795069338,NA,"1"
"75","Saint John","13310","Not a visible minority",15,3245,72516.6795069338,95.0219619326501,5.14385353095031,42289.7107286096,72516.6795069338,0,"1"
"76","Saguenay","24408","Total - Visible minority",1,3310,63045.084592145,100,4.09754889824214,39841.4526268233,63750.0892307693,705.004638624298,"1"
"77","Saguenay","24408","Total visible minority population",2,85,0,2.56797583081571,9.13978494623656,10004.7218934911,63750.0892307693,63750.0892307693,"1"
"78","Saguenay","24408","South Asian",3,0,NA,0,0,NA,63750.0892307693,NA,"1"
"79","Saguenay","24408","Chinese",4,0,NA,0,0,NA,63750.0892307693,NA,"1"
"80","Saguenay","24408","Black",5,20,0,0.604229607250755,7.40740740740741,0,63750.0892307693,63750.0892307693,"1"
"81","Saguenay","24408","Filipino",6,0,NA,0,0,NA,63750.0892307693,NA,"1"
"82","Saguenay","24408","Latin American",7,0,NA,0,0,NA,63750.0892307693,NA,"1"
"83","Saguenay","24408","Arab",8,10,0,0.302114803625378,9.09090909090909,0,63750.0892307693,63750.0892307693,"1"
"84","Saguenay","24408","Southeast Asian",9,0,NA,0,0,NA,63750.0892307693,NA,"1"
"85","Saguenay","24408","West Asian",10,0,NA,0,0,NA,63750.0892307693,NA,"1"
"86","Saguenay","24408","Korean",11,0,NA,0,0,NA,63750.0892307693,NA,"1"
"87","Saguenay","24408","Japanese",12,0,NA,0,NA,NA,63750.0892307693,NA,"1"
"88","Saguenay","24408","Visible minority, n.i.e.",13,0,NA,0,0,NA,63750.0892307693,NA,"1"
"89","Saguenay","24408","Multiple visible minorities",14,0,NA,0,0,NA,63750.0892307693,NA,"1"
"90","Saguenay","24408","Not a visible minority",15,3250,63750.0892307693,98.1873111782477,4.06987665143072,39875.6854643953,63750.0892307693,0,"1"
"91","Québec","24421","Total - Visible minority",1,29310,65509.2470146708,100,6.60120267561541,43165.4512418616,66507.7243084814,998.477293810676,"1"
"92","Québec","24421","Total visible minority population",2,2005,48041.1271820449,6.84066871374957,10.2741480912119,22965.3123929183,66507.7243084814,18466.5971264366,"1"
"93","Québec","24421","South Asian",3,45,0,0.15353121801433,9,2514.26373626373,66507.7243084814,66507.7243084814,"1"
"94","Québec","24421","Chinese",4,100,0,0.341180484476288,6.87285223367698,7563.35055350559,66507.7243084814,66507.7243084814,"1"
"95","Québec","24421","Black",5,635,32722.4015748031,2.16649607642443,9.57767722473605,16092.2376980818,66507.7243084814,33785.3227336783,"1"
"96","Québec","24421","Filipino",6,0,NA,0,0,NA,66507.7243084814,NA,"1"
"97","Québec","24421","Latin American",7,440,40791.7159090909,1.50119413169567,9.64912280701754,13853.5703883495,66507.7243084814,25716.0083993905,"1"
"98","Québec","24421","Arab",8,570,45465.5,1.94472876151484,15.8113730929265,13464.349258649,66507.7243084814,21042.2243084814,"1"
"99","Québec","24421","Southeast Asian",9,120,19623.0416666667,0.409416581371546,8.33333333333333,10267.7575757576,66507.7243084814,46884.6826418148,"1"
"100","Québec","24421","West Asian",10,40,0,0.136472193790515,11.9402985074627,0,66507.7243084814,66507.7243084814,"1"
"101","Québec","24421","Korean",11,0,NA,0,0,NA,66507.7243084814,NA,"1"
"102","Québec","24421","Japanese",12,0,NA,0,0,NA,66507.7243084814,NA,"1"
"103","Québec","24421","Visible minority, n.i.e.",13,15,0,0.0511770726714432,5.76923076923077,0,66507.7243084814,66507.7243084814,"1"
"104","Québec","24421","Multiple visible minorities",14,30,0,0.102354145342886,8.45070422535211,0,66507.7243084814,66507.7243084814,"1"
"105","Québec","24421","Not a visible minority",15,27295,66507.7243084814,93.1252132378028,6.42908457090365,43837.2756381212,66507.7243084814,0,"1"
"106","Sherbrooke","24433","Total - Visible minority",1,4615,57849.068255688,100,4.24719307933002,37755.9253688308,58865.2623138602,1016.19405817226,"1"
"107","Sherbrooke","24433","Total visible minority population",2,240,16093.2083333333,5.20043336944745,5.39325842696629,14772.8420427553,58865.2623138602,42772.0539805269,"1"
"108","Sherbrooke","24433","South Asian",3,0,NA,0,0,NA,58865.2623138602,NA,"1"
"109","Sherbrooke","24433","Chinese",4,10,0,0.216684723726977,3.17460317460317,1183.57377049176,58865.2623138602,58865.2623138602,"1"
"110","Sherbrooke","24433","Black",5,65,0,1.40845070422535,5.34979423868313,3385.61739130435,58865.2623138602,58865.2623138602,"1"
"111","Sherbrooke","24433","Filipino",6,0,NA,0,0,NA,58865.2623138602,NA,"1"
"112","Sherbrooke","24433","Latin American",7,80,0,1.73347778981582,5.79710144927536,5248.90769230772,58865.2623138602,58865.2623138602,"1"
"113","Sherbrooke","24433","Arab",8,75,0,1.62513542795233,10.4895104895105,2663.21875,58865.2623138602,58865.2623138602,"1"
"114","Sherbrooke","24433","Southeast Asian",9,0,NA,0,0,NA,58865.2623138602,NA,"1"
"115","Sherbrooke","24433","West Asian",10,0,NA,0,0,NA,58865.2623138602,NA,"1"
"116","Sherbrooke","24433","Korean",11,0,NA,0,0,NA,58865.2623138602,NA,"1"
"117","Sherbrooke","24433","Japanese",12,0,NA,0,0,NA,58865.2623138602,NA,"1"
"118","Sherbrooke","24433","Visible minority, n.i.e.",13,0,NA,0,0,NA,58865.2623138602,NA,"1"
"119","Sherbrooke","24433","Multiple visible minorities",14,0,NA,0,0,NA,58865.2623138602,NA,"1"
"120","Sherbrooke","24433","Not a visible minority",15,4365,58865.2623138602,94.5828819068256,4.18926052113825,38133.2901933286,58865.2623138602,0,"1"
"121","Trois-Rivières","24442","Total - Visible minority",1,2745,63252.0746812386,100,3.57514977858817,37241.9074761937,63286.8643122676,34.7896310290162,"1"
"122","Trois-Rivières","24442","Total visible minority population",2,85,0,3.09653916211293,4.1871921182266,9673.76349614398,63286.8643122676,63286.8643122676,"1"
"123","Trois-Rivières","24442","South Asian",3,0,NA,0,0,NA,63286.8643122676,NA,"1"
"124","Trois-Rivières","24442","Chinese",4,0,NA,0,0,NA,63286.8643122676,NA,"1"
"125","Trois-Rivières","24442","Black",5,40,0,1.45719489981785,4.93827160493827,6613.15584415582,63286.8643122676,63286.8643122676,"1"
"126","Trois-Rivières","24442","Filipino",6,0,NA,0,0,NA,63286.8643122676,NA,"1"
"127","Trois-Rivières","24442","Latin American",7,0,NA,0,0,NA,63286.8643122676,NA,"1"
"128","Trois-Rivières","24442","Arab",8,10,0,0.364298724954463,3.33333333333333,0,63286.8643122676,63286.8643122676,"1"
"129","Trois-Rivières","24442","Southeast Asian",9,20,0,0.728597449908925,13.7931034482759,0,63286.8643122676,63286.8643122676,"1"
"130","Trois-Rivières","24442","West Asian",10,0,NA,0,0,NA,63286.8643122676,NA,"1"
"131","Trois-Rivières","24442","Korean",11,0,NA,0,NA,NA,63286.8643122676,NA,"1"
"132","Trois-Rivières","24442","Japanese",12,0,NA,0,0,NA,63286.8643122676,NA,"1"
"133","Trois-Rivières","24442","Visible minority, n.i.e.",13,0,NA,0,0,NA,63286.8643122676,NA,"1"
"134","Trois-Rivières","24442","Multiple visible minorities",14,0,NA,0,0,NA,63286.8643122676,NA,"1"
"135","Trois-Rivières","24442","Not a visible minority",15,2690,63286.8643122676,97.9963570127505,3.59433458043827,37429.7084546085,63286.8643122676,0,"1"
"136","Montréal","24462","Total - Visible minority",1,138150,71600.5199420919,100,6.434874551387,44218.2168779761,75068.6535591006,3468.13361700866,"1"
"137","Montréal","24462","Total visible minority population",2,30930,59460.1121888135,22.3887079261672,7.20533935913713,30739.2743545006,75068.6535591006,15608.5413702871,"1"
"138","Montréal","24462","South Asian",3,3270,60083.0596330275,2.36699239956569,8.50234009360374,27892.8394430235,75068.6535591006,14985.5939260731,"1"
"139","Montréal","24462","Chinese",4,4585,63093.4351145038,3.31885631559899,11.1842907671667,28248.4535841802,75068.6535591006,11975.2184445968,"1"
"140","Montréal","24462","Black",5,6285,53589.677008751,4.54940282301846,4.84897581298461,29725.3905781237,75068.6535591006,21478.9765503496,"1"
"141","Montréal","24462","Filipino",6,540,28328.8425925926,0.390879478827362,2.75862068965517,22881.244024166,75068.6535591006,46739.810966508,"1"
"142","Montréal","24462","Latin American",7,4025,53815.1105590062,2.91349981903728,6.6064833812064,28715.5449912127,75068.6535591006,21253.5430000944,"1"
"143","Montréal","24462","Arab",8,7240,60199.0538674033,5.24068041983351,8.84707032443331,30783.262081909,75068.6535591006,14869.5996916973,"1"
"144","Montréal","24462","Southeast Asian",9,2550,65451.8019607843,1.84581976112921,9.18422474338196,31750.5094189966,75068.6535591006,9616.85159831627,"1"
"145","Montréal","24462","West Asian",10,1155,37594.025974026,0.836047774158523,8.86756238003839,20648.49705139,75068.6535591006,37474.6275850746,"1"
"146","Montréal","24462","Korean",11,285,22596.9298245614,0.206297502714441,10.7344632768362,8156.1814345991,75068.6535591006,52471.7237345392,"1"
"147","Montréal","24462","Japanese",12,110,0,0.079623597538907,5.78947368421053,11197.7374301676,75068.6535591006,75068.6535591006,"1"
"148","Montréal","24462","Visible minority, n.i.e.",13,280,28120.7857142857,0.202678248280854,6.54205607476636,15931.2574999999,75068.6535591006,46947.8678448149,"1"
"149","Montréal","24462","Multiple visible minorities",14,565,42748.0973451327,0.408975750995295,6.92401960784314,20198.8255431205,75068.6535591006,32320.5562139678,"1"
"150","Montréal","24462","Not a visible minority",15,107190,75068.6535591006,77.5895765472313,6.24092085459685,47697.3276409714,75068.6535591006,0,"1"
