"","ID","Name","long","lat","num.row"
"88","35575","North Bay",-79.141733755978,47.7408591094455,126
"89","35580","Greater Sudbury",-80.7277764189438,47.7491739757848,139
"90","35582","Elliot Lake",-82.4045777282097,47.538772304827,13
"91","35586","Timmins",-81.1683126493327,49.6546341477451,18
"92","35590","Sault Ste. Marie",-83.9868821008749,47.6208628116997,302
"93","35595","Thunder Bay",-89.3279774518763,49.3776482859374,639
"94","35598","Kenora",-94.4307340674345,50.8115183808238,360
"95","46602","Winnipeg",-97.0496341833045,50.9019203213238,317
"96","46603","Winkler",-98.1020909114533,50.1789129658669,10
"97","46605","Steinbach",-96.696441788228,50.5436192406528,20
"98","46607","Portage la Prairie",-98.2859932505266,51.0043209764938,28
"99","46610","Brandon",-99.9631456691886,50.8721964518081,16
"100","46640","Thompson",-97.5607564860137,56.5317525825504,29
