"","tech","ALT.GEO.CODE","GEO.NAME","V1","pct","cma.focus","rownum","x","y"
"133",0,"24403","Matane",8170,2.33114166168559,"0",67,67,7
"134",1,"24403","Matane",195,2.33114166168559,"0",67,67,7
"135",0,"24430","Thetford Mines",12640,2.35612205484743,"0",68,68,7
"136",1,"24430","Thetford Mines",305,2.35612205484743,"0",68,68,7
"137",0,"35533","Ingersoll",6765,2.38095238095238,"0",69,69,7
"138",1,"35533","Ingersoll",165,2.38095238095238,"0",69,69,7
"139",0,"10015","Corner Brook",15010,2.40572171651495,"0",70,70,7
"140",1,"10015","Corner Brook",370,2.40572171651495,"0",70,70,7
"141",0,"35515","Pembroke",10665,2.42451967063129,"0",71,71,7
"142",1,"35515","Pembroke",265,2.42451967063129,"0",71,71,7
"143",0,"24456","Joliette",21325,2.44739249771272,"0",72,72,7
"144",1,"24456","Joliette",535,2.44739249771272,"0",72,72,7
"145",0,"35556","Chatham-Kent",47585,2.45977247104643,"0",73,73,7
"146",1,"35556","Chatham-Kent",1200,2.45977247104643,"0",73,73,7
"147",0,"59937","Duncan",19795,2.48768472906404,"0",74,74,7
"148",1,"59937","Duncan",505,2.48768472906404,"0",74,74,7
"149",0,"24444","Shawinigan",22550,2.50756593169045,"0",75,75,7
"150",1,"24444","Shawinigan",580,2.50756593169045,"0",75,75,7
"151",0,"59970","Prince George",46315,2.51525994527468,"0",76,76,7
"152",1,"59970","Prince George",1195,2.51525994527468,"0",76,76,7
"153",0,"24428","Saint-Georges",16130,2.56720024161885,"0",77,77,7
"154",1,"24428","Saint-Georges",425,2.56720024161885,"0",77,77,7
"155",0,"13328","Bathurst",13645,2.57051053195287,"0",78,78,7
"156",1,"13328","Bathurst",360,2.57051053195287,"0",78,78,7
"157",0,"24452","Saint-Hyacinthe",28545,2.59341409315816,"0",79,79,7
"158",1,"24452","Saint-Hyacinthe",760,2.59341409315816,"0",79,79,7
"159",0,"24440","Victoriaville",23475,2.67412935323383,"0",80,80,7
"160",1,"24440","Victoriaville",645,2.67412935323383,"0",80,80,7
"161",0,"24410","Alma",14980,2.69568041571939,"0",81,81,7
"162",1,"24410","Alma",415,2.69568041571939,"0",81,81,7
"163",0,"48830","Red Deer",55380,2.70555165144062,"0",82,82,7
"164",1,"48830","Red Deer",1540,2.70555165144062,"0",82,82,7
"165",0,"48821","High River",6645,2.7086383601757,"0",83,83,7
"166",1,"48821","High River",185,2.7086383601757,"0",83,83,7
"167",0,"59918","Vernon",28370,2.70919067215363,"0",84,84,7
"168",1,"59918","Vernon",790,2.70919067215363,"0",84,84,7
"169",0,"35543","Brantford",66965,2.73077202411214,"0",85,85,7
"170",1,"35543","Brantford",1880,2.73077202411214,"0",85,85,7
"171",0,"59925","Kamloops",52135,2.73320895522388,"0",86,86,7
"172",1,"59925","Kamloops",1465,2.73320895522388,"0",86,86,7
"173",0,"11110","Summerside",8080,2.76774969915764,"0",87,87,7
"174",1,"11110","Summerside",230,2.76774969915764,"0",87,87,7
"175",0,"48845","Cold Lake",8775,2.77008310249307,"0",88,88,7
"176",1,"48845","Cold Lake",250,2.77008310249307,"0",88,88,7
"177",0,"59920","Salmon Arm",8045,2.77945619335347,"0",89,89,7
"178",1,"59920","Salmon Arm",230,2.77945619335347,"0",89,89,7
"179",0,"35565","Wasaga Beach",8195,2.8452874925904,"0",90,90,7
"180",1,"35565","Wasaga Beach",240,2.8452874925904,"0",90,90,7
"181",0,"35522","Belleville",48765,2.86824021511802,"0",91,91,7
"182",1,"35522","Belleville",1440,2.86824021511802,"0",91,91,7
"183",0,"35539","St. Catharines - Niagara",193670,2.88336174907231,"0",92,92,7
"184",1,"35539","St. Catharines - Niagara",5750,2.88336174907231,"0",92,92,7
"185",0,"59938","Nanaimo",49610,2.91585127201566,"0",93,93,7
"186",1,"59938","Nanaimo",1490,2.91585127201566,"0",93,93,7
"187",0,"24447","Drummondville",46705,2.94056525353283,"0",94,94,7
"188",1,"24447","Drummondville",1415,2.94056525353283,"0",94,94,7
"189",0,"35595","Thunder Bay",58870,2.94287362954414,"0",95,95,7
"190",1,"35595","Thunder Bay",1785,2.94287362954414,"0",95,95,7
"191",0,"24454","Sorel-Tracy",17795,2.97164667393675,"0",96,96,7
"192",1,"24454","Sorel-Tracy",545,2.97164667393675,"0",96,96,7
"193",0,"35512","Brockville",17835,2.99156921403318,"0",97,97,7
"194",1,"35512","Brockville",550,2.99156921403318,"0",97,97,7
"195",0,"35580","Greater Sudbury",80855,3.02248875562219,"0",98,98,7
"196",1,"35580","Greater Sudbury",2520,3.02248875562219,"0",98,98,7
"197",0,"24405","Rivière-du-Loup",14245,3.02927161334241,"0",99,99,7
"198",1,"24405","Rivière-du-Loup",445,3.02927161334241,"0",99,99,7
"199",0,"24412","Sept-Îles",13905,3.03347280334728,"0",100,100,11
"200",1,"24412","Sept-Îles",435,3.03347280334728,"0",100,100,11
"201",0,"12210","Kentville",12420,3.04449648711944,"0",101,101,11
"202",1,"12210","Kentville",390,3.04449648711944,"0",101,101,11
"203",0,"24485","Rouyn-Noranda",21060,3.06098964326812,"0",102,102,11
"204",1,"24485","Rouyn-Noranda",665,3.06098964326812,"0",102,102,11
"205",0,"24406","Baie-Comeau",13180,3.08823529411765,"0",103,103,11
"206",1,"24406","Baie-Comeau",420,3.08823529411765,"0",103,103,11
